Atributo1,Atributo2,Atributo3,Atributo4
256,3761,910,932
2180,2866,4075,2939
4427,1810,4960,2110
418,2356,3936,4224
357,2901,970,2600
4543,541,484,540
3240,1340,3365,2582
2741,2585,2946,851
3901,2844,2254,2912
3132,881,711,2541
1510,2303,621,1594
1501,4026,462,748
1048,4370,1167,2915
1065,198,1768,4755
1364,4532,2584,678
2586,601,1701,4919
3891,3021,4156,4301
2753,4435,614,1173
404,2683,2916,1798
3500,2353,3730,2415
990,3627,268,3165
1571,4987,683,3611
2871,302,3888,2722
2983,1019,4345,4953
1688,685,2267,2758
1071,2036,913,4234
1392,3048,2517,1499
4894,766,4829,3405
4082,2497,3598,1256
1395,2638,4954,3293
1916,4288,296,4560
4540,433,2118,3113
1012,1961,1754,3573
2650,1752,2770,1604
4608,3736,4423,1751
4141,898,2882,2316
4977,2948,2622,4300
3894,4215,1705,1521
2188,2466,2082,708
4080,4700,4112,903
1472,194,1067,2437
443,3220,2896,2310
4658,551,2544,3515
2145,2528,3819,1156
288,2250,224,998
1887,620,4424,3067
2945,3207,109,3015
2094,1046,1355,211
3930,4003,204,1880
629,4660,4519,102
3918,149,4372,2452
4930,3304,1308,651
2530,4129,1888,3750
573,4205,3878,1602
4135,905,4491,3848
1844,3069,1197,1064
403,1356,3294,3504
1291,4077,4521,3864
4541,1984,1588,4174
4040,4282,2865,2740
4113,4799,1114,3974
3522,4070,3776,3626
538,3388,4187,2016
1998,3064,2846,3523
2828,2684,4542,1135
4481,1902,901,43
3328,2977,4588,2284
4244,2186,3280,3244
603,1175,1132,594
4826,3295,3977,4785
4689,2709,3784,4489
2704,4339,3176,3960
1049,4383,2935,396
4751,3811,3701,2329
3200,1034,2084,3219
3075,4452,4349,3602
3431,3356,4567,368
4635,3692,3511,904
2333,440,2381,4109
1440,3988,1821,3040
3912,3139,3116,1448
4890,1111,2903,3245
3719,35,2322,2132
4948,3014,4764,2178
3260,3204,2675,3501
182,834,642,2131
4587,4665,1520,1849
1262,606,4717,3223
96,3345,4262,3496
866,1122,3478,2713
1295,2108,1361,3763
4816,3009,4728,3127
2174,1645,4475,2015
857,3184,3865,4049
3274,3420,4881,3024
4095,2743,3084,2552
2414,679,4379,4183
4296,1585,298,4214
3389,1716,4996,210
3,4543,345,45
32432,45,45,435
1,2,3,4
3,2,4,4
45,6,2,3
3,3,54,34
3,5,3,45
234,435,234,534
234,123,32,123
234,343,543,234
45,6,2,3
3,3,54,34
3,5,3,45
3,4,5,53
77,865,786,6
6,4,4,45
5,67,6,7
5,67,6,7
3423,32423,345,54
3,4543,345,45
32432,45,45,435
1,2,3,4
3,2,4,4
45,6,2,3
3,3,54,34
3,5,3,45
234,435,234,534
234,123,32,123
234,343,543,234
45,6,2,3
3,3,54,34
3,5,3,45
3,4,5,53
77,865,786,6
3,4543,345,45
32432,45,45,435
1,2,3,4
3,2,4,4
45,6,2,3
3,3,54,34
3,5,3,45
3,4,5,53
77,865,786,6
3,4543,345,45
32432,45,45,435
1,2,3,4
3,2,4,4
1,2,3,4
3,2,4,4
45,6,2,3
3,3,54,34
3,5,3,45
3,4,5,53
77,865,786,6
6,4,4,45
5,67,6,7
3423,32423,345,54
3,4543,345,45
32432,45,45,435
44,435,345,45
435,65,23,324
234,435,234,534
234,123,32,123
234,343,543,234
45,6,2,3
3,3,54,34
3,5,3,45
3,4,5,53
77,865,786,6
6,4,4,45
5,67,6,7
5,67,6,7
3423,32423,345,54
3,4543,345,45
32432,45,45,435
1,2,3,4
3,2,4,4
